7.2.0.006,8.0.0,Transition notes
Time Not Comfortable Winter Clothes Any Zone,Facility Thermal Comfort ASHRAE 55 Simple Model Winter Clothes Not Comfortable Time,
Time Zone Temperature Oscillating,Zone Oscillating Temperatures Time,
Tot SimAir Iterations,Air System Simulation Iteration Count,
Tot SimAirLoopComponents Calls,Air System Component Model Simulation Calls,
Total Building Electric Demand,Facility Total Building Electric Demand Power,
Total Electric Demand,Facility Total Electric Demand Power,
Total Electric Energy Produced,Facility Total Produced Electric Energy,
Total Electric Energy Purchased,Facility Total Purchased Electric Energy,
Total Electric Energy Surplus,Facility Total Surplus Electric Energy,
Total Electric Power Produced,Facility Total Produced Electric Power,
Total Electric Power Purchased,Facility Total Purchased Electric Power,
Total HVAC Electric Demand,Facility Total HVAC Electric Demand Power,
Total Shortwave Absorbed:All Glass Layers,Surface Window Total Glazing Layers Absorbed Shortwave Radiation Rate,
Total Shortwave Radiation Absorbed on Inside of Surface,Surface Inside Face Absorbed Shortwave Radiation Rate,
Total Steam Heating Coil Energy,Heating Coil Heating Energy,
Total Steam Heating Coil Rate,Heating Coil Heating Rate,
Total Water Cooling Coil Energy,Cooling Coil Total Cooling Energy,
Total Water Cooling Coil Rate,Cooling Coil Total Cooling Rate,
Total Water Heating Coil Energy,Heating Coil Heating Energy,
Total Water Heating Coil Rate,Heating Coil Heating Rate,
Tower Air Flow Rate Ratio,Cooling Tower Air Flow Rate Ratio,
Tower Basin Heater Electric Consumption,Cooling Tower Basin Heater Electric Energy,
Tower Basin Heater Electric Power,Cooling Tower Basin Heater Electric Power,
Tower Fan Cycling Ratio,Cooling Tower Fan Cycling Ratio,
Tower Fan Electric Consumption,Cooling Tower Fan Electric Energy,
Tower Fan Electric Power,Cooling Tower Fan Electric Power,
Tower Fan Part-Load Ratio,Cooling Tower Fan Part Load Ratio,
Tower Fluid Bypass Fraction,Cooling Tower Bypass Fraction,
Tower Heat Transfer,Cooling Tower Heat Transfer Rate,
Tower Water Blowdown,Cooling Tower Water Blowdown Volume,
Tower Water Blowdown Rate,Cooling Tower Water Blowdown Volume Flow Rate,
Tower Water Drift,Cooling Tower Water Drift Volume,
Tower Water Drift Rate,Cooling Tower Water Drift Volume Flow Rate,
Tower Water Evaporation,Cooling Tower Water Evaporation Volume,
Tower Water Evaporation Rate,Cooling Tower Water Evaporation Volume Flow Rate,
Tower Water From Storage Tank,Cooling Tower Storage Tank Water Volume,
Tower Water From Storage Tank Rate,Cooling Tower Storage Tank Water Volume Flow Rate,
Tower Water Inlet Temp,Cooling Tower Inlet Temperature,
Tower Water Make Up,Cooling Tower Make Up Water Volume,
Tower Water Make Up Mains Draw,Cooling Tower Make Up Mains Water Volume,
Tower Water Make Up Rate,Cooling Tower Make Up Water Volume Flow Rate,
Tower Water Mass Flow Rate,Cooling Tower Mass Flow Rate,
Tower Water Outlet Temp,Cooling Tower Outlet Temperature,
Tower Water Starved By Storage Tank,Cooling Tower Starved Storage Tank Water Volume,
Tower Water Starved By Storage Tank Rate,Cooling Tower Starved Storage Tank Water Volume Flow Rate,
Transcritical Refrigeration System Average COP,Refrigeration Transcritical System Average COP,
Transcritical Refrigeration System Gas Cooler Fan Electric Consumption,Refrigeration Transcritical System Gas Cooler Fan Electric Energy,
Transcritical Refrigeration System Gas Cooler Fan Electric Power,Refrigeration Transcritical System Gas Cooler Fan Electric Power,
Transcritical Refrigeration System Gas Cooler Heat Recovered for Refrigeration Defrost Energy,Refrigeration Transcritical System Gas Cooler Defrost Recovered Heat Transfer Energy,
Transcritical Refrigeration System Gas Cooler Heat Recovered for Refrigeration Defrost Rate,Refrigeration Transcritical System Gas Cooler Defrost Recovered Heat Transfer Rate,
Transcritical Refrigeration System Gas Cooler Heat Transfer Energy,Refrigeration Transcritical System Gas Cooler Heat Transfer Energy,
Transcritical Refrigeration System Gas Cooler Heat Transfer Rate,Refrigeration Transcritical System Gas Cooler Heat Transfer Rate,
Transcritical Refrigeration System Gas Cooler Outlet Pressure,Refrigeration Transcritical System Gas Cooler Outlet Pressure,
Transcritical Refrigeration System Gas Cooler Outlet Temperature,Refrigeration Transcritical System Gas Cooler Outlet Temperature,
Transcritical Refrigeration System Low Temperature Evaporating Temperature,Refrigeration Transcritical System Low Temperature Evaporating Temperature,
Transcritical Refrigeration System Low Temperature Suction Temperature,Refrigeration Transcritical System Low Temperature Suction Temperature,
Transcritical Refrigeration System Medium Temperature Evaporating Temperature,Refrigeration Transcritical System Medium Temperature Evaporating Temperature,
Transcritical Refrigeration System Medium Temperature Suction Temperature,Refrigeration Transcritical System Medium Temperature Suction Temperature,
Transcritical Refrigeration System Net Heat Rejected Energy,Refrigeration Transcritical System Net Rejected Heat Transfer Energy,
Transcritical Refrigeration System Net Heat Rejected Rate,Refrigeration Transcritical System Net Rejected Heat Transfer Rate,
Transcritical Refrigeration System Refrigerant Inventory,Refrigeration Transcritical System Estimated Refrigerant Inventory Mass,
Transcritical Refrigeration System Total Cases and Walk-Ins Heat Transfer Energy,Refrigeration Transcritical System Total Cases and Walk Ins Heat Transfer Energy,
Transcritical Refrigeration System Total Compressor Electric Consumption,Refrigeration Transcritical System Total Compressor Electric Energy,
Transcritical Refrigeration System Total High Pressure Compressor Electric Consumption,Refrigeration Transcritical System Total High Pressure Compressor Electric Energy,
Transcritical Refrigeration System Total High Pressure Compressor Electric Power,Refrigeration Transcritical System Total High Pressure Compressor Electric Power,
Transcritical Refrigeration System Total High Pressure Compressor Heat Transfer Energy,Refrigeration Transcritical System High Pressure Compressor Heat Transfer Energy,
Transcritical Refrigeration System Total High Pressure Compressor Heat Transfer Rate,Refrigeration Transcritical System High Pressure Compressor Heat Transfer Rate,
Transcritical Refrigeration System Total Low Pressure Compressor Electric Consumption,Refrigeration Transcritical System Low Pressure Compressor Electric Energy,
Transcritical Refrigeration System Total Low Pressure Compressor Electric Power,Refrigeration Transcritical System Low Pressure Compressor Electric Power,
Transcritical Refrigeration System Total Low Pressure Compressor Heat Transfer Energy,Refrigeration Transcritical System Low Pressure Compressor Heat Transfer Energy,
Transcritical Refrigeration System Total Low Pressure Compressor Heat Transfer Rate,Refrigeration Transcritical System Low Pressure Compressor Heat Transfer Rate,
Transcritical Refrigeration System Total Low Temperature Cases and Walk-Ins Heat Transfer Energy,Refrigeration Transcritical System Low Temperature Cases and Walk Ins Heat Transfer Energy,
Transcritical Refrigeration System Total Low Temperature Cases and Walk-Ins Heat Transfer Rate,Refrigeration Transcritical System Low Temperature Cases and Walk Ins Heat Transfer Rate,
Transcritical Refrigeration System Total Low Temperature Suction Pipe Heat Gain Energy,Refrigeration Transcritical System Low Temperature Suction Pipe Heat Transfer Energy,
Transcritical Refrigeration System Total Low Temperature Suction Pipe Heat Gain Rate,Refrigeration Transcritical System Low Temperature Suction Pipe Heat Transfer Rate,
Transcritical Refrigeration System Total Medium Temperature Cases and Walk-Ins Heat Transfer Energy,Refrigeration Transcritical System Medium Temperature Cases and Walk Ins Heat Transfer Energy,
Transcritical Refrigeration System Total Medium Temperature Cases and Walk-Ins Heat Transfer Rate,Refrigeration Transcritical System Medium Temperature Cases and Walk Ins Heat Transfer Rate,
Transcritical Refrigeration System Total Medium Temperature Suction Pipe Heat Gain Energy,Refrigeration Transcritical System Medium Temperature Suction Pipe Heat Transfer Energy,
Transcritical Refrigeration System Total Medium Temperature Suction Pipe Heat Gain Rate,Refrigeration Transcritical System Medium Temperature Suction Pipe Heat Transfer Rate,
Transcritical Refrigeration System Total Refrigerant Mass Flow,Refrigeration Transcritical System Refrigerant Mass Flow Rate,
Transformer Energy Input,Transformer Input Electric Energy,
Transformer Energy Output,Transformer Output Electric Energy,
Transformer Power Input,Transformer Input Electric Power,
Transformer Power Output,Transformer Output Electric Power,
Trench Ground Heat Exchanger fluid heat loss,Ground Heat Exchanger Fluid Heat Transfer Rate,
Trench Ground Heat Exchanger fluid mass flow rate,Ground Heat Exchanger Mass Flow Rate,
Trench Ground Heat Exchanger inlet fluid temperature,Ground Heat Exchanger Inlet Temperature,
Trench Ground Heat Exchanger outlet fluid temperature,Ground Heat Exchanger Outlet Temperature,
Turndown for Warmest Temp Flow Control,Setpoint Manager Warmest Temperature Turndown Flow Fraction,
UF Average Temp Gradient,Room Air Zone Average Temperature Gradient,
UF Effective Air Temperature for Comfort,Room Air Zone Effective Comfort Air Temperature,
UF Gamma,Room Air Zone Transition Height Gamma Value,
UF Mixed Subzone Temperature,Room Air Zone Mixed Subzone Temperature,
UF Occupied Subzone Temperature,Room Air Zone Occupied Subzone Temperature,
UF Plume Power from Windows,Room Air Zone Window Plume Heat Transfer Rate,
UF Power In Plumes,Room Air Zone Plume Heat Transfer Rate,
UF Thermostat Temperature,Room Air Zone Thermostat Temperature,
UF Transition Height,Room Air Zone Transition Height,
UF Zone Is Mixed,Room Air Zone Is Mixed Status,
Unit Heater Fan Availability Status,Zone Unit Heater Fan Availability Status,
Unit Heater Fan Electric Consumption,Zone Unit Heater Fan Electric Energy,
Unit Heater Fan Electric Power,Zone Unit Heater Fan Electric Power,
Unit Heater Heating Energy,Zone Unit Heater Heating Energy,
Unit Heater Heating Rate,Zone Unit Heater Heating Rate,
Unit Ventilator Fan Availability Status,Zone Unit Ventilator Fan Availability Status,
Unit Ventilator Fan Electric Consumption,Zone Unit Ventilator Fan Electric Energy,
Unit Ventilator Fan Electric Power,Zone Unit Ventilator Fan Electric Power,
Unit Ventilator Heating Energy,Zone Unit Ventilator Heating Energy,
Unit Ventilator Heating Rate,Zone Unit Ventilator Heating Rate,
Unit Ventilator Sensible Cooling Energy,Zone Unit Ventilator Sensible Cooling Energy,
Unit Ventilator Sensible Cooling Rate,Zone Unit Ventilator Sensible Cooling Rate,
Unit Ventilator Total Cooling Energy,Zone Unit Ventilator Total Cooling Energy,
Unit Ventilator Total Cooling Rate,Zone Unit Ventilator Total Cooling Rate,
Unitary Heat Pump Compressor Part-Load Ratio,Unitary System Compressor Part Load Ratio,
Unitary Heat Pump Fan Part-Load Ratio,Unitary System Fan Part Load Ratio,
Unitary Heat Pump Heating Demand,Unitary System Requested Heating Rate,
Unitary Heat Pump Latent Cooling Demand,Unitary System Requested Latent Cooling Rate,
Unitary Heat Pump Sensible Cooling Demand,Unitary System Requested Sensible Cooling Rate,
Unitary MSHP Auxiliary Electric Cooling Consumption,Unitary System Cooling Ancillary Electric Energy,
Unitary MSHP Auxiliary Electric Heating Consumption,Unitary System Heating Ancillary Electric Energy,
Unitary MSHP Auxiliary Electric Power,Unitary System Ancillary Electric Power,
Unitary MSHP Compressor Part-Load Ratio,Unitary System Compressor Part Load Ratio,
Unitary MSHP DX Coil Cycling Ratio,Unitary System DX Coil Cycling Ratio,
Unitary MSHP DX Coil Speed Number,Unitary System DX Coil Speed Level,
Unitary MSHP DX Coil Speed Ratio,Unitary System DX Coil Speed Ratio,
Unitary MSHP Electric Power,Unitary System Electric Power,
Unitary MSHP Electricity Energy Consumption,Unitary System Electric Energy,
Unitary MSHP Fan Part-Load Ratio,Unitary System Fan Part Load Ratio,
Unitary MSHP Latent Cooling Energy Rate,Unitary System Latent Cooling Rate,
Unitary MSHP Latent Heating Energy Rate,Unitary System Latent Heating Rate,
Unitary MSHP Sensible Cooling Energy Rate,Unitary System Sensible Cooling Rate,
Unitary MSHP Sensible Heating Energy Rate,Unitary System Sensible Heating Rate,
Unitary MSHP Total Cooling Energy Rate,Unitary System Total Cooling Rate,
Unitary MSHP Total Heating Energy Rate,Unitary System Total Heating Rate,
Unitary MSHP Waste Heat Recovery Energy,Unitary System Heat Recovery Energy,
Unitary MSHP Waste Heat Recovery Inlet Temp,Unitary System Heat Recovery Inlet Temperature,
Unitary MSHP Waste Heat Recovery Mass Flow Rate,Unitary System Heat Recovery Fluid Mass Flow Rate,
Unitary MSHP Waste Heat Recovery Outlet Temp,Unitary System Heat Recovery Outlet Temperature,
Unitary MSHP Waste Heat Recovery Rate,Unitary System Heat Recovery Rate,
Unitary System Compressor Part-Load Ratio,Unitary System Compressor Part Load Ratio,
Unitary System Fan Part-Load Ratio,Unitary System Fan Part Load Ratio,
UTSC Air Changes per Hour Passive,Solar Collector Natural Ventilation Air Change Rate,
UTSC Average Suction Face Velocity,Solar Collector Outside Face Suction Velocity,
UTSC Collector Efficiency,Solar Collector Surface Efficiency,
UTSC Collector Temperature,Solar Collector Surface Temperature,
UTSC Heat Exchanger Effectiveness,Solar Collector Heat Exchanger Effectiveness,
UTSC Incident Solar Radiation,Solar Collector Incident Solar Radiation,
UTSC Leaving Air Drybulb from Collector,Solar Collector Leaving Air Temperature,
UTSC Overall Efficiency,Solar Collector System Efficiency,
UTSC Plenum Drybulb Temperature,Solar Collector Plenum Air Temperature,
UTSC Sensible Heating Energy,Solar Collector Sensible Heating Energy,
UTSC Sensible Heating Rate,Solar Collector Sensible Heating Rate,
